year,total,Procedure,pct_cng
2014,8118,both,NA
2015,7957,both,-1.983247105198325
2016,7277,both,-8.54593439738595
2017,7778,both,6.884705235674042
2018,8037,both,3.329904859861147
2019,7637,both,-4.976981460744058
2020,7756,both,1.5582034830430798
2021,8414,both,8.483754512635379
