year,Name,Count
2017,Marshall,41
2017,Martin,4
2017,Miami,26
2017,Monroe,237
2017,Montgomery,28
2017,Morgan,51
2017,Newton,16
2017,Noble,13
2017,Ohio,1
2017,Orange,14
2017,Owen,9
2017,Parke,5
2017,Perry,8
2017,Pike,8
2017,Porter,140
2017,Posey,9
2017,Pulaski,5
2017,Putnam,23
2017,Randolph,9
2017,Ripley,4
2017,Rush,5
2017,St. Joseph,149
2017,Scott,11
2017,Shelby,26
2017,Spencer,8
2017,Starke,12
2017,Steuben,3
2017,Sullivan,10
2017,Switzerland,0
2017,Tippecanoe,261
2017,Tipton,12
2017,Union,3
2017,Vanderburgh,155
2017,Vermillion,3
2017,Vigo,118
2017,Wabash,13
2017,Warren,5
2017,Warrick,25
2017,Washington,14
2017,Wayne,37
2017,Wells,10
2017,White,30
2017,Whitley,10
2018,Adams,10
2018,Allen,319
2018,Bartholomew,70
2018,Benton,4
2018,Blackford,6
2018,Boone,55
2018,Brown,8
2018,Carroll,12
2018,Cass,45
2018,Clark,44
2018,Clay,21
2018,Clinton,32
2018,Crawford,4
2018,Daviess,13
2018,Dearborn,5
2018,Decatur,17
2018,DeKalb,11
2018,Delaware,121
2018,Dubois,20
2018,Elkhart,87
2018,Fayette,13
2018,Floyd,22
2018,Fountain,10
2018,Franklin,4
2018,Fulton,5
2018,Gibson,18
2018,Grant,61
2018,Greene,25
2018,Hamilton,312
2018,Hancock,57
2018,Harrison,7
2018,Hendricks,163
2018,Henry,37
2018,Howard,81
2018,Huntington,24
2018,Jackson,34
2018,Jasper,33
2018,Jay,4
2018,Jefferson,43
2018,Jennings,13
2018,Johnson,184
2018,Knox,27
2018,Kosciusko,35
2018,LaGrange,7
2018,Lake,574
2018,LaPorte,108
2018,Lawrence,49
2018,Madison,126
2018,Marion,2746
2018,Marshall,27
2018,Martin,0
2018,Miami,16
2018,Monroe,204
2018,Montgomery,29
2018,Morgan,63
2018,Newton,17
2018,Noble,13
2018,Ohio,0
2018,Orange,9
2018,Owen,13
2018,Parke,11
2018,Perry,5
2018,Pike,4
2018,Porter,176
2018,Posey,11
2018,Pulaski,4
2018,Putnam,19
2018,Randolph,14
2018,Ripley,5
2018,Rush,5
2018,St. Joseph,142
2018,Scott,14
2018,Shelby,41
2018,Spencer,8
2018,Starke,5
2018,Steuben,4
2018,Sullivan,12
2018,Switzerland,1
2018,Tippecanoe,266
2018,Tipton,10
2018,Union,1
2018,Vanderburgh,153
2018,Vermillion,3
2018,Vigo,109
2018,Wabash,12
2018,Warren,7
2018,Warrick,15
2018,Washington,14
2018,Wayne,28
2018,Wells,14
2018,White,21
2018,Whitley,12
2019,Adams,13
2019,Allen,321
2019,Bartholomew,73
2019,Benton,6
2019,Blackford,9
2019,Boone,60
2019,Brown,11
2019,Carroll,7
2019,Cass,26
2019,Clark,26
2019,Clay,20
2019,Clinton,23
2019,Crawford,4
2019,Daviess,17
2019,Dearborn,6
2019,Decatur,12
2019,DeKalb,5
2019,Delaware,125
2019,Dubois,12
2019,Elkhart,81
2019,Fayette,11
2019,Floyd,18
2019,Fountain,8
2019,Franklin,1
2019,Fulton,6
2019,Gibson,10
2019,Grant,79
2019,Greene,20
2019,Hamilton,302
2019,Hancock,61
2019,Harrison,10
2019,Hendricks,143
2019,Henry,21
2019,Howard,91
2019,Huntington,16
2019,Jackson,38
2019,Jasper,32
2019,Jay,4
2019,Jefferson,30
2019,Jennings,16
2019,Johnson,167
2019,Knox,11
2019,Kosciusko,26
2019,LaGrange,5
2019,Lake,470
2019,LaPorte,78
2019,Lawrence,30
2019,Madison,147
2019,Marion,2818
2019,Marshall,31
2019,Martin,1
2019,Miami,19
2019,Monroe,212
2019,Montgomery,30
2019,Morgan,43
2019,Newton,13
2019,Noble,14
2019,Ohio,1
2019,Orange,19
2019,Owen,14
2019,Parke,8
2019,Perry,1
2019,Pike,8
2019,Porter,126
2019,Posey,9
2019,Pulaski,7
2019,Putnam,31
2019,Randolph,8
2019,Ripley,6
2019,Rush,7
2019,Scott,8
2019,Shelby,33
2019,Spencer,6
2019,St. Joseph,189
2019,Starke,23
2019,Steuben,7
2019,Sullivan,11
2019,Switzerland,0
2019,Tippecanoe,241
2019,Tipton,7
2019,Union,0
2019,Vanderburgh,103
2019,Vermillion,5
2019,Vigo,119
2019,Wabash,17
2019,Warren,3
2019,Warrick,35
2019,Washington,8
2019,Wayne,33
2019,Wells,7
2019,White,15
2019,Whitley,15
2021,Adams,22
2021,Allen,325
2021,Bartholomew,76
2021,Benton,5
2021,Blackford,7
2021,Boone,73
2021,Brown,7
2021,Carroll,10
2021,Cass,24
2021,Clark,21
2021,Clay,13
2021,Clinton,33
2021,Crawford,2
2021,Daviess,21
2021,DeKalb,6
2021,Dearborn,4
2021,Decatur,13
2021,Delaware,133
2021,Dubois,20
2021,Elkhart,155
2021,Fayette,12
2021,Floyd,16
2021,Fountain,12
2021,Franklin,12
2021,Fulton,18
2021,Gibson,9
2021,Grant,71
2021,Greene,13
2021,Hamilton,321
2021,Hancock,69
2021,Harrison,4
2021,Hendricks,236
2021,Henry,36
2021,Howard,68
2021,Huntington,15
2021,Jackson,28
2021,Jasper,40
2021,Jay,5
2021,Jefferson,26
2021,Jennings,25
2021,Johnson,194
2021,Knox,16
2021,Kosciusko,54
2021,LaGrange,3
2021,Lake,533
2021,LaPorte,101
2021,Lawrence,32
2021,Madison,149
2021,Marion,3342
2021,Marshall,22
2021,Martin,2
2021,Miami,22
2021,Monroe,186
2021,Montgomery,26
2021,Morgan,50
2021,Newton,6
2021,Noble,15
2021,Ohio,0
2021,Orange,6
2021,Owen,15
2021,Parke,1
2021,Perry,2
2021,Pike,7
2021,Porter,145
2021,Posey,5
2021,Pulaski,4
2021,Putnam,13
2021,Randolph,16
2021,Ripley,9
2021,Rush,9
2021,Scott,5
2021,Shelby,35
2021,Spencer,6
2021,St. Joseph,279
2021,Starke,17
2021,Steuben,8
2021,Sullivan,10
2021,Switzerland,2
2021,Tippecanoe,218
2021,Tipton,10
2021,Union,2
2021,Vanderburgh,129
2021,Vermillion,0
2021,Vigo,106
2021,Wabash,20
2021,Warren,4
2021,Warrick,23
2021,Washington,7
2021,Wayne,42
2021,Wells,7
2021,White,16
2021,Whitley,12
2020,Adams,8
2020,Allen,284
2020,Bartholomew,84
2020,Benton,6
2020,Blackford,4
2020,Boone,53
2020,Brown,9
2020,Carroll,14
2020,Cass,27
2020,Clark,20
2020,Clay,17
2020,Clinton,17
2020,Crawford,3
2020,Daviess,12
2020,DeKalb,14
2020,Dearborn,4
2020,Decatur,14
2020,Delaware,136
2020,Dubois,19
2020,Elkhart,140
2020,Fayette,17
2020,Floyd,11
2020,Fountain,11
2020,Franklin,8
2020,Fulton,13
2020,Gibson,18
2020,Grant,61
2020,Greene,8
2020,Hamilton,302
2020,Hancock,64
2020,Harrison,5
2020,Hendricks,177
2020,Henry,30
2020,Howard,90
2020,Huntington,13
2020,Jackson,30
2020,Jasper,27
2020,Jay,5
2020,Jefferson,36
2020,Jennings,12
2020,Johnson,175
2020,Knox,16
2020,Kosciusko,39
2020,LaGrange,4
2020,Lake,508
2020,LaPorte,105
2020,Lawrence,35
2020,Madison,135
2020,Marion,3052
2020,Marshall,22
2020,Martin,3
2020,Miami,18
2020,Monroe,192
2020,Montgomery,28
2020,Morgan,55
2020,Newton,5
2020,Noble,8
2020,Ohio,0
2020,Orange,9
2020,Owen,10
2020,Parke,6
2020,Perry,2
2020,Pike,1
2020,Porter,129
2020,Posey,7
2020,Pulaski,6
2020,Putnam,19
2020,Randolph,12
2020,Ripley,5
2020,Rush,8
2020,Scott,14
2020,Shelby,33
2020,Spencer,4
2020,St. Joseph,261
2020,Starke,19
2020,Steuben,6
2020,Sullivan,5
2020,Switzerland,0
2020,Tippecanoe,239
2020,Tipton,8
2020,Union,2
2020,Vanderburgh,123
2020,Vermillion,12
2020,Vigo,90
2020,Wabash,8
2020,Warren,6
2020,Warrick,29
2020,Washington,5
2020,Wayne,33
2020,Wells,7
2020,White,17
2020,Whitley,14
2014,Switzerland,NA
2015,Switzerland,NA
